Najom,Rozloha
317.0,63.4
513.12,64.14
550.0,70.0
218.4,42.0
248.0,65.33
131.0,26.2
444.0,55.55
950.0,120.0
700.0,73.0
365.37,51.0
499.0,49.14
710.0,109.0
500.0,120.0
402.93,48.84
320.0,65.29
1200.0,64.0
290.0,60.0
656.0,104.0
440.0,40.0
850.0,100.0
689.0,104.8
399.0,71.84
335.0,55.0
257.9,53.73
282.0,44.0
423.0,67.05
0.0,30.0
1249.0,109.2
430.0,69.89
580.0,48.0
395.0,80.1
694.0,66.02
323.91,71.98
1350.0,108.0
575.0,40.34
960.0,86.0
740.0,23.0
365.0,61.05
352.0,64.0
595.0,90.0
180.0,36.0
230.0,25.07
1000.0,71.4
266.04,59.12
450.0,79.32
246.62,47.2
300.0,59.0
271.5,54.3
465.0,58.0
340.0,76.41
650.0,56.0
349.0,45.38
600.0,75.0
410.0,80.0
2072.0,148.0
463.56,68.17
280.0,62.19
359.0,35.69
1210.0,62.0
1411.0,133.9
265.0,47.81
867.0,102.0
520.0,80.0
1950.0,133.0
629.0,59.95
1500.0,131.0
370.0,68.8
205.0,55.27
220.0,78.0
700.0,60.0
896.5,163.0
200.0,32.0
1050.0,74.63
155.0,31.0
950.0,98.0
530.0,78.05
238.0,47.57
484.5,57.0
720.0,30.0
1130.0,102.72
2285.0,169.0
260.0,67.98
250.0,55.6
500.0,74.0
270.4,52.0
1763.63,160.33
271.0,57.79
900.0,91.0
700.0,72.57
630.0,85.0
235.0,43.0
315.0,20.0
381.0,52.82
1000.0,75.0
715.0,60.0
325.0,65.0
252.0,42.56
440.0,52.0
419.5,53.78
450.0,47.0
420.0,87.0
3896.0,211.0
2430.0,142.0
327.55,62.0
745.0,68.0
1180.0,78.0
1200.0,109.0
250.0,48.6
298.16,49.85
495.0,45.0
330.0,38.68
593.0,82.31
750.0,67.0
155.0,30.9
690.0,96.2
2952.36,164.0
870.0,83.0
365.0,51.0
1305.0,145.0
245.0,49.0
358.0,49.36
750.0,63.51
219.0,46.6
534.0,60.0
450.0,101.0
365.0,54.0
645.0,121.0
300.0,60.0
950.0,111.0
390.0,76.0
320.0,53.0
260.0,58.0
402.0,76.0
320.0,55.35
298.0,40.0
355.0,70.32
451.2,56.4
318.0,52.7
364.5,60.75
890.0,70.0
320.0,49.81
660.0,68.0
1450.0,146.0
2215.0,119.0
325.0,74.82
249.0,49.37
340.0,20.0
530.0,76.0
337.7,61.4
450.0,65.0
305.6,76.4
595.0,79.0
413.22,76.55
653.84,81.73
1040.0,86.57
270.0,30.0
398.0,51.0
369.0,74.95
2300.0,177.0
318.55,63.71
254.5,50.8
930.0,64.0
990.0,86.0
780.0,63.0
216.0,26.89
340.0,61.25
340.0,64.74
775.0,103.0
335.5,61.0
415.0,64.0
960.0,95.0
950.0,171.1
417.0,74.0
354.9,78.0
418.8,64.43
420.0,88.0
450.0,65.7
825.0,91.8
1052.0,72.52
1470.0,117.18
480.32,75.05
775.0,82.0
175.0,25.0
2190.0,76.0
1250.0,56.0
720.0,89.0
580.0,58.0
373.5,74.7
1290.0,96.0
990.0,92.0
487.0,62.89
360.0,67.0
350.0,84.24
540.0,90.0
259.0,32.49
1300.0,130.0
732.53,73.25
307.0,55.97
2200.0,96.0
561.0,20.0
1000.0,100.0
590.0,141.0
600.0,67.0
590.0,70.0
281.28,58.15
1144.0,143.87
463.0,62.62
695.0,95.0
196.0,26.43
515.0,66.44
780.0,109.63
350.0,55.0
1295.0,102.68
350.0,54.0
915.0,94.37
1695.0,90.45
394.4,68.0
362.0,60.33
357.2,60.0
230.0,50.71
570.0,54.0
370.0,14.7
790.0,83.0
229.0,47.7
400.0,200.0
292.45,58.5
260.0,39.0
750.0,83.0
385.42,56.68
325.0,62.0
262.0,44.0
650.0,44.0
345.0,48.0
218.0,41.75
590.0,50.0
295.0,56.66
380.0,79.0
1033.6,94.0
720.0,74.66
1190.0,88.42
650.0,24.0
350.0,63.57
930.0,100.52
375.0,49.0
403.0,71.9
0.0,77.0
1225.0,113.0
480.0,87.0
215.0,32.61
710.0,101.58
269.0,54.8
273.41,56.96
363.49,75.0
360.0,62.0
395.0,60.0
829.0,105.0
